Transcript_ID,KO_IDs,Pathway_IDs,Reaction_IDs,Module_Descriptions,Module_Groups,Module_Prefixes
NODE_25740_length_1896_cov_127.151597_g11902_i0,"upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9];udk, UCK; uridine kinase [EC:2.7.1.48];rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]",Pentose phosphate pathway;Pentose and glucuronate interconversions;Pyrimidine metabolism;Carbon fixation by Calvin cycle;Drug metabolism - other enzymes;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism;Biosynthesis of amino acids,ATP:cytidine 5'-phosphotransferase; ATP + Cytidine <=> ADP + CMP;R00516;GTP:cytidine 5'-phosphotransferase; GTP + Cytidine <=> GDP + CMP;R00962;ATP:uridine 5'-phosphotransferase; ATP + Uridine <=> ADP + UMP;UMP:diphosphate phospho-alpha-D-ribosyltransferase; UMP + Diphosphate <=> Uracil + 5-Phospho-alpha-D-ribose 1-diphosphate;R00967;GTP:uridine 5'-phosphotransferase; GTP + Uridine <=> GDP + UMP;R00970;D-ribulose-5-phosphate 3-epimerase; D-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate;R01548;R01549;R01880;R02091;R02096;R02097;R02327;R02332;R02371;R02372;ATP:5-fluorouridine 5'-phosphotransferase; 5-Fluorouridine + ATP <=> 5-Fluorouridine monophosphate + ADP,"Pentose phosphate pathway (Pentose phosphate cycle);Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",Central carbohydrate metabolism;Central carbohydrate metabolism,Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism
NODE_25744_length_1896_cov_89.487277_g11904_i0,"PRKAA, AMPK; 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]",FoxO signaling pathway;Autophagy - animal;mTOR signaling pathway;PI3K-Akt signaling pathway;AMPK signaling pathway;Longevity regulating pathway;Longevity regulating pathway - multiple species;Apelin signaling pathway;Tight junction;Circadian rhythm;Thermogenesis;Insulin signaling pathway;Adipocytokine signaling pathway;Oxytocin signaling pathway;Glucagon signaling pathway;Insulin resistance;Non-alcoholic fatty liver disease;Hypertrophic cardiomyopathy;Fluid shear stress and atherosclerosis,,,,
NODE_25747_length_1896_cov_68.206822_g11906_i0,"SLC36A, PAT; solute carrier family 36 (proton-coupled amino acid transporter)",Autophagy - yeast,,,,
NODE_25748_length_1896_cov_67.048186_g11907_i0,SPOP; speckle-type POZ protein,Hedgehog signaling pathway;Hedgehog signaling pathway - fly,,Cul3-SPOP complex,Ubiquitin system,Genetic information processing
NODE_25758_length_1895_cov_609.542254_g11911_i0,"RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34",Ribosome,,"Ribosome, bacteria",Ribosome,Genetic information processing
NODE_25761_length_1895_cov_393.953954_g11914_i0,"PSMC5, RPT6; 26S proteasome regulatory subunit T6",Proteasome;Epstein-Barr virus infection,,"Proteasome, 19S regulatory particle (PA700)",Proteasome,Genetic information processing
NODE_25769_length_1895_cov_86.471289_g11919_i0,"SLC35D1_2_3; solute carrier family 35, member D1/2/3;GONST1_2, VRG4; GDP-mannose transporter",,,,,
NODE_25784_length_1894_cov_353.459621_g9825_i1,"CS, gltA; citrate synthase [EC:2.3.3.1]",Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing); Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate,"Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate;Glyoxylate cycle;M00740",Central carbohydrate metabolism;Central carbohydrate metabolism;Other carbohydrate metabolism;,Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;
NODE_25787_length_1894_cov_185.220054_g11928_i0,GLCAT14; beta-glucuronosyltransferase [EC:2.4.1.-],,,,,
NODE_25794_length_1894_cov_112.927371_g11930_i0,cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107],Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments,S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase; 2 S-Adenosyl-L-methionine + Uroporphyrinogen III <=> 2 S-Adenosyl-L-homocysteine + Precorrin 2,"Heme biosynthesis, glutamate => protoheme/siroheme",Cofactor and vitamin biosynthesis,Nucleotide and amino acid metabolism
NODE_25799_length_1894_cov_54.932791_g11934_i0,"upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]",Pyrimidine metabolism;Metabolic pathways,UMP:diphosphate phospho-alpha-D-ribosyltransferase; UMP + Diphosphate <=> Uracil + 5-Phospho-alpha-D-ribose 1-diphosphate,,,
NODE_257_length_7177_cov_339.326740_g116_i0,IRAK1; interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Epstein-Barr virus infection,,M00686,,
NODE_25817_length_1893_cov_104.988069_g11943_i0,"PTBP2, NPTB; polypyrimidine tract-binding protein 2",,,,,
NODE_25818_length_1893_cov_103.257050_g11084_i1,GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],Glycerophospholipid metabolism;Biosynthesis of secondary metabolites;MAPK signaling pathway - yeast,sn-glycerol-3-phosphate:NAD+ 2-oxidoreductase; sn-Glycerol 3-phosphate + NAD+ <=> Glycerone phosphate + NADH + H+,,,
NODE_25821_length_1893_cov_73.945770_g11945_i0,"SLC2A8, GLUT8; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8",,,,,
NODE_25823_length_1893_cov_55.583514_g9324_i1,panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11],Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,"5,10-methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase; 5,10-Methylenetetrahydrofolate + 3-Methyl-2-oxobutanoic acid + H2O <=> Tetrahydrofolate + 2-Dehydropantoate","Pantothenate biosynthesis, valine/L-aspartate => pantothenate",Cofactor and vitamin biosynthesis,Nucleotide and amino acid metabolism
NODE_2582_length_4270_cov_230.023217_g1181_i1,"PWD; phosphoglucan, water dikinase [EC:2.7.9.5]",,,,,
NODE_25830_length_1892_cov_816.408573_g7356_i3,"hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]",Porphyrin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming); 2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O,"Heme biosynthesis, glutamate => protoheme/siroheme",Cofactor and vitamin biosynthesis,Nucleotide and amino acid metabolism
NODE_25831_length_1892_cov_540.312534_g10538_i1,PAPSS; 3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25],Purine metabolism;Monobactam biosynthesis;Selenocompound metabolism;Sulfur metabolism;Metabolic pathways;Microbial metabolism in diverse environments;map01130,ATP:adenylylsulfate 3'-phosphotransferase; ATP + Adenylyl sulfate <=> ADP + 3'-Phosphoadenylyl sulfate;ATP:sulfate adenylyltransferase; ATP + Sulfate <=> Diphosphate + Adenylyl sulfate;ATP:adenylylsulfate 3'-phosphotransferase; ATP + Adenylylselenate <=> ADP + 3'-Phosphoadenylylselenate;ATP:selenate adenylyltransferase; ATP + Selenate <=> Diphosphate + Adenylylselenate,"Sulfur reduction, sulfate => H2S",Sulfur metabolism,Energy metabolism
NODE_25835_length_1892_cov_227.973956_g11022_i1,"UBE2I, UBC9; ubiquitin-conjugating enzyme E2 I",Nucleocytoplasmic transport;NF-kappa B signaling pathway;Ubiquitin mediated proteolysis;MicroRNAs in cancer,,Nuclear pore complex,RNA processing,Genetic information processing
NODE_25842_length_1892_cov_61.257189_g11950_i0,TOLLIP; toll-interacting protein,Toll-like receptor signaling pathway,,,,
NODE_25844_length_1892_cov_55.979381_g11951_i0,"TFIIH2, GTF2H2, SSL1; transcription initiation factor TFIIH subunit 2",Basal transcription factors;Nucleotide excision repair;Viral carcinogenesis,,Holo-TFIIH complex,Repair system,Genetic information processing
NODE_25845_length_1892_cov_48.071080_g8460_i1,ZDHHC14_18; palmitoyltransferase ZDHHC14/18 [EC:2.3.1.225],Hippo signaling pathway - fly,,,,
NODE_25851_length_1891_cov_278.187296_g11955_i0,PCBP3_4; poly(rC)-binding protein 3/4,,,,,
NODE_25854_length_1891_cov_158.219870_g11522_i1,SPOP; speckle-type POZ protein,Hedgehog signaling pathway;Hedgehog signaling pathway - fly,,Cul3-SPOP complex,Ubiquitin system,Genetic information processing
NODE_25857_length_1891_cov_134.384365_g11956_i0,DNAJC17; DnaJ homolog subfamily C member 17,,,,,
NODE_25860_length_1891_cov_102.062432_g11958_i0,CYP92A6; typhasterol/6-deoxotyphasterol 2alpha-hydroxylase,Brassinosteroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,"typhasterol,NADPH:oxygen oxidoreductase (2alpha-hydroxylating); Typhasterol + NADPH + H+ + Oxygen <=> Castasterone + NADP+ + H2O;6-deoxotyphasterol,NADPH:oxygen oxidoreductase (2alpha-hydroxylating); 6-Deoxotyphasterol + NADPH + H+ + Oxygen <=> 6-Deoxocastasterone + NADP+ + H2O",,,
NODE_25862_length_1891_cov_82.198154_g7918_i1,pcp; pyroglutamyl-peptidase [EC:3.4.19.3],,,,,
NODE_25863_length_1891_cov_65.321933_g7055_i2,"SIRT6, SIR2L6; NAD-dependent protein deacetylase sirtuin 6 [EC:2.3.1.286]",Thermogenesis;Central carbon metabolism in cancer,,,,
NODE_25869_length_1891_cov_32.364821_g9999_i1,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_25871_length_1891_cov_27.969055_g11962_i0,E2.4.1.218; hydroquinone glucosyltransferase [EC:2.4.1.218],,,,,
NODE_25873_length_1891_cov_12.630836_g11964_i0,ZSWIM3; zinc finger SWIM domain-containing protein 3,,,,,
NODE_25875_length_1891_cov_8.049403_g11966_i0,"GN5_6; glucan endo-1,3-beta-glucosidase 5/6 [EC:3.2.1.39]",Starch and sucrose metabolism,"1,3-beta-D-glucan glucanohydrolase; 1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan",,,
NODE_25877_length_1890_cov_1079.440521_g11968_i0,OPR; 12-oxophytodienoic acid reductase [EC:1.3.1.42],alpha-Linolenic acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,"(9S,13S)-10,11-dihydro-12-oxo-15-phytoenoate:NADP+ 4-oxidoreductasee; (9S,13S,15Z)-12-Oxo-10,11-dihydrophyto-15-enoate + NADP+ <=> (9S,13S,15Z)-12-Oxophyto-10,15-dienoate + NADPH + H+",Jasmonic acid biosynthesis,Fatty acid metabolism,Carbohydrate and lipid metabolism
NODE_25878_length_1890_cov_679.731124_g10791_i1,"ASP5; aspartate aminotransferase, chloroplastic [EC:2.6.1.1]","Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Isoquinoline alkaloid biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;map01130;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",L-aspartate:2-oxoglutarate aminotransferase; L-Aspartate + 2-Oxoglutarate <=> Oxaloacetate + L-Glutamate;L-phenylalanine:2-oxoglutarate aminotransferase; L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate;L-tyrosine:2-oxoglutarate aminotransferase; L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate;L-cysteine:2-oxoglutarate aminotransferase; L-Cysteine + 2-Oxoglutarate <=> Mercaptopyruvate + Glutamate;L-cysteate:2-oxoglutarate aminotransferase; L-Cysteate + 2-Oxoglutarate <=> 3-Sulfopyruvate + L-Glutamate;3-sulfino-L-alanine:2-oxoglutarate aminotransferase; 3-Sulfino-L-alanine + 2-Oxoglutarate <=> 3-Sulfinylpyruvate + L-Glutamate;L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase; L-erythro-4-Hydroxyglutamate + 2-Oxoglutarate <=> (4R)-4-Hydroxy-2-oxoglutarate + L-Glutamate,,,
NODE_2587_length_4269_cov_84.442180_g1280_i0,glgA; starch synthase [EC:2.4.1.21],Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biofilm formation - Escherichia coli,"ADP-glucose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase; ADP-glucose + Amylose <=> ADP + Amylose",M00565,,
NODE_25883_length_1890_cov_182.826181_g11970_i0,DGCR14; protein DGCR14,,,,,
NODE_25888_length_1890_cov_81.583379_g11971_i0,"BEBT, AMAT; benzyl alcohol O-benzoyltransferase [EC:2.3.1.196 2.3.1.232]",,,,,
NODE_25897_length_1889_cov_3640.167391_g7684_i3,"ACTF; actin, other eukaryote",,,,,
NODE_25898_length_1889_cov_2143.303261_g5844_i3,E1.6.5.4; monodehydroascorbate reductase (NADH) [EC:1.6.5.4],Ascorbate and aldarate metabolism;Metabolic pathways,NADH:monodehydroascorbate oxidoreductase; NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+,,,
NODE_25901_length_1889_cov_250.400000_g10290_i2,"DUSP12, YVH1; dual specificity phosphatase 12 [EC:3.1.3.16 3.1.3.48]",,,,,
NODE_25902_length_1889_cov_212.901630_g10966_i1,CTDSP; carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase [EC:3.1.3.16],,,,,
NODE_2590_length_4268_cov_47.591609_g1282_i0,YDA; mitogen-activated protein kinase kinase kinase YODA [EC:2.7.11.25],MAPK signaling pathway - plant,,,,
NODE_25916_length_1888_cov_189.367047_g11502_i1,trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18],"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;map01130;Biosynthesis of amino acids",N-(5-phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase; N-(5-Phospho-D-ribosyl)anthranilate + Diphosphate <=> Anthranilate + 5-Phospho-alpha-D-ribose 1-diphosphate,"Tryptophan biosynthesis, chorismate => tryptophan",Aromatic amino acid metabolism,Nucleotide and amino acid metabolism
NODE_25920_length_1888_cov_134.624252_g10337_i2,"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",Citrate cycle (TCA cycle);Lysine degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism,succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase; Succinyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine;glutaryl-CoA:enzyme-N6-(dihydrolipoyl)lysine S-glutaryltransferase; Glutaryl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine;2-oxoglutarate:NAD+ 2-oxidoreductase (CoA-succinylating); 2-oxoglutarate dehydrogenase complex; 2-Oxoglutarate + CoA + NAD+ <=> Succinyl-CoA + CO2 + NADH + H+,"Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate;Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",Central carbohydrate metabolism;Central carbohydrate metabolism;Lysine metabolism,Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;Nucleotide and amino acid metabolism
NODE_25922_length_1888_cov_107.089179_g11982_i0,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_25928_length_1888_cov_70.797716_g6898_i2,surE; 5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6],Purine metabolism;Pyrimidine metabolism;Nicotinate and nicotinamide metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,adenosine 5'-monophosphate phosphohydrolase; AMP + H2O <=> Adenosine + Orthophosphate;cytidine-5'-monophosphate phosphohydrolase; CMP + H2O <=> Cytidine + Orthophosphate;uridine 5'-monophosphate phosphohydrolase; UMP + H2O <=> Uridine + Orthophosphate;inosine 5'-monophosphate phosphohydrolase; IMP + H2O <=> Inosine + Orthophosphate;guanosine 5'-monophosphate phosphohydrolase; GMP + H2O <=> Guanosine + Orthophosphate;thymidylate 5'-phosphohydrolase; dTMP + H2O <=> Thymidine + Orthophosphate;2'-deoxycytidine 5'-monophosphate phosphohydrolase; dCMP + H2O <=> Deoxycytidine + Orthophosphate;2'-deoxyguanosine 5'-monophosphate phosphohydrolase; dGMP + H2O <=> Deoxyguanosine + Orthophosphate;2'-deoxyadenosine 5'-monophosphate phosphohydrolase; dAMP + H2O <=> Deoxyadenosine + Orthophosphate;2'-deoxyuridine 5'-monophosphate phosphohydrolase; dUMP + H2O <=> Deoxyuridine + Orthophosphate;nicotinamide ribonucleotide phosphohydrolase; Nicotinamide D-ribonucleotide + H2O <=> Nicotinamide-beta-riboside + Orthophosphate;xanthosine 5'-phosphate phosphohydrolase; Xanthosine 5'-phosphate + H2O <=> Xanthosine + Orthophosphate;nicotinate D-ribonucleotide phosphohydrolase; Nicotinate D-ribonucleotide + H2O <=> Nicotinate D-ribonucleoside + Orthophosphate,,,
NODE_2592_length_4266_cov_28.105051_g1126_i1,CSLD; cellulose synthase-like protein [EC:2.4.1.-],,,,,
NODE_25932_length_1888_cov_59.963567_g11987_i0,"ARFGEF, BIG; brefeldin A-inhibited guanine nucleotide-exchange protein",Endocytosis,,,,
NODE_25947_length_1887_cov_130.896083_g11993_i0,"USP7, UBP15; ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]",FoxO signaling pathway;Herpes simplex virus 1 infection;Epstein-Barr virus infection;Viral carcinogenesis,,,,
NODE_25956_length_1887_cov_53.787269_g11998_i0,pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9],,,,,
NODE_2595_length_4265_cov_31.230313_g1284_i0,TFIP11; tuftelin-interacting protein 11,,,,,
NODE_25961_length_1887_cov_36.259521_g11185_i1,"ACTR6, ARP6; actin-related protein 6;PPIL4; peptidyl-prolyl cis-trans isomerase-like 4 [EC:5.2.1.8]",,,,,
NODE_25967_length_1886_cov_403.029940_g847_i4,"SLC50A, SWEET; solute carrier family 50 (sugar transporter)",,,,,
NODE_25968_length_1886_cov_179.010343_g12004_i0,"RPA49, POLR1E; DNA-directed RNA polymerase I subunit RPA49",Purine metabolism;Pyrimidine metabolism;Metabolic pathways;RNA polymerase,ATP:polynucleotide adenylyltransferase; ATP:RNA adenylyltransferase; ATP + RNA <=> Diphosphate + RNA;GTP:RNA guanylyltransferase (DNA-directed); GTP:RNA guanylyltransferase (RNA-directed); GTP + RNA <=> Diphosphate + RNA;CTP:RNA cytidylyltransferase (DNA-directed); CTP:RNA cytidylyltransferase (RNA-directed); CTP + RNA <=> Diphosphate + RNA;UTP:RNA uridylyltransferase; UTP + RNA <=> Diphosphate + RNA,"RNA polymerase I, eukaryotes",RNA polymerase,Genetic information processing
NODE_2596_length_4265_cov_17.669355_g1248_i1,"infB, MTIF2; translation initiation factor IF-2",,,,,
NODE_25979_length_1886_cov_64.734894_g12008_i0,XXT; xyloglucan 6-xylosyltransferase [EC:2.4.2.39],,,,,
NODE_25986_length_1886_cov_37.631464_g12011_i0,RPS2; disease resistance protein RPS2,Plant-pathogen interaction,,,,
NODE_25987_length_1886_cov_35.676647_g12012_i0,GID1; gibberellin receptor GID1 [EC:3.-.-.-],Plant hormone signal transduction,,,,
NODE_25989_length_1885_cov_277.128540_g9239_i3,DNAJA2; DnaJ homolog subfamily A member 2,Protein processing in endoplasmic reticulum,,,,
NODE_25993_length_1885_cov_171.306100_g1306_i6,"SLC2A8, GLUT8; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8",,,,,
NODE_25997_length_1885_cov_79.113834_g11523_i1,"SLC17A; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other",,,,,
NODE_25998_length_1885_cov_57.062092_g12013_i0,E3.2.1.4; endoglucanase [EC:3.2.1.4],Starch and sucrose metabolism;Metabolic pathways,"1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose;Cellulose + H2O <=> Cellulose + Cellodextrin;Cellodextrin <=> Cellobiose",,,
NODE_25_length_12489_cov_61.369373_g6_i0,ERN1; serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-];TRRAP; transformation/transcription domain-associated protein,Autophagy - animal;Protein processing in endoplasmic reticulum;Apoptosis;Non-alcoholic fatty liver disease;Alzheimer disease;Human T-cell leukemia virus 1 infection,,,,
NODE_26003_length_1885_cov_38.460240_g12017_i0,"SLC25A39_40; solute carrier family 25, member 39/40",,,,,
NODE_26009_length_1885_cov_6.325163_g12020_i0,IRAK1; interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Epstein-Barr virus infection,,M00686,,
NODE_26014_length_1884_cov_607.573297_g7733_i1,BAMT; benzoate O-methyltransferase [EC:2.1.1.273];BSMT1; benzoate/salicylate 1-O-methyltransferase [EC:2.1.1.273 2.1.1.274];AAMT; anthranilate O-methyltransferase [EC:2.1.1.277],,,,,
NODE_26017_length_1884_cov_263.104632_g12023_i0,"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",Pentose phosphate pathway;Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism;Biosynthesis of amino acids,ATP:D-ribose-5-phosphate diphosphotransferase; ATP + D-Ribose 5-phosphate <=> AMP + 5-Phospho-alpha-D-ribose 1-diphosphate,"PRPP biosynthesis, ribose 5P => PRPP",Central carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_2601_length_4264_cov_55.078766_g1288_i0,"RPM1, RPS3; disease resistance protein RPM1",Plant-pathogen interaction,,,,
NODE_26022_length_1884_cov_175.474659_g12027_i0,PCYT2; ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14];E7.6.2.1; phospholipid-translocating ATPase [EC:7.6.2.1],Phosphonate and phosphinate metabolism;Glycerophospholipid metabolism;Metabolic pathways,CTP:ethanolamine-phosphate cytidylyltransferase; CTP + Ethanolamine phosphate <=> Diphosphate + CDP-ethanolamine;CTP:ethanolamine-phosphate cytidylyltransferase; CTP + 2-Aminoethylphosphonate <=> Diphosphate + CMP-2-aminoethylphosphonate,"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",Lipid metabolism,Carbohydrate and lipid metabolism
NODE_26024_length_1884_cov_120.111717_g12029_i0,NOTUM; O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98],Wnt signaling pathway,[Wnt]-O-(9Z)-hexadec-9-enoyl-L-serine acylhydrolase; [Wnt]-O-(9Z)-hexadec-9-enoyl-L-serine + H2O <=> [Wnt]-L-serine + (9Z)-Hexadecenoic acid,,,
NODE_26031_length_1884_cov_39.500272_g12031_i0,SNRK2; serine/threonine-protein kinase SRK2 [EC:2.7.11.1],MAPK signaling pathway - plant;Plant hormone signal transduction,,,,
NODE_26033_length_1884_cov_36.130245_g12033_i0,"era, ERAL1; GTPase",,,,,
NODE_26042_length_1883_cov_489.139040_g12037_i0,prfB; peptide chain release factor 2,,,,,
NODE_26050_length_1883_cov_149.884406_g12040_i0,"TC.BASS; bile acid:Na+ symporter, BASS family",,,,,
NODE_26052_length_1883_cov_113.627045_g12041_i0,"RUVBL2, RVB2, INO80J; RuvB-like protein 2 [EC:5.6.2.3]",,,,,
NODE_26053_length_1883_cov_51.900763_g12042_i0,E3.5.5.1; nitrilase [EC:3.5.5.1];NIT4; beta-cyano-L-alanine hydratase/nitrilase [EC:3.5.5.4 4.2.1.65],Tryptophan metabolism;Cyanoamino acid metabolism;Aminobenzoate degradation;Styrene degradation;Nitrogen metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments,3-cyano-L-alanine aminohydrolase; 3-Cyano-L-alanine + 2 H2O <=> L-Aspartate + Ammonia;nitrile aminohydrolase; Nitrile + 2 H2O <=> Carboxylate + Ammonia;L-asparagine hydro-lyase (3-cyanoalanine-forming); L-Asparagine <=> 3-Cyano-L-alanine + H2O;gamma-amino-gamma-cyanobutanoate aminohydrolase; gamma-Amino-gamma-cyanobutanoate + 2 H2O <=> Glutamate + Ammonia;3-indoleacetonitrile aminohydrolase; 3-Indoleacetonitrile + 2 H2O <=> Indole-3-acetate + Ammonia;alpha-aminopropiononitrile aminohydrolase; alpha-Aminopropiononitrile + 2 H2O <=> Alanine + Ammonia;nitrile aminohydrolase; Benzonitrile + 2 H2O <=> Benzoate + Ammonia;phenylacetonitrile aminohydrolase; Phenylacetonitrile + 2 H2O <=> Phenylacetic acid + Ammonia,,,
NODE_26056_length_1883_cov_28.757906_g12044_i0,DNM1L; dynamin 1-like protein [EC:3.6.5.5],Mitophagy - yeast;Apoptosis - fly;Necroptosis;NOD-like receptor signaling pathway;TNF signaling pathway,,,,
NODE_26065_length_1882_cov_239.981451_g3177_i2,"TFIIA1, GTF2A1, TOA1; transcription initiation factor TFIIA large subunit",Basal transcription factors;Viral carcinogenesis,,,,
NODE_26069_length_1882_cov_190.533006_g12049_i0,E3.1.3.63; 2-carboxy-D-arabinitol-1-phosphatase [EC:3.1.3.63],,,,,
NODE_26089_length_1881_cov_124.501092_g6593_i3,SCPL-II; serine carboxypeptidase-like clade II [EC:3.4.16.-],,,,,
NODE_26097_length_1881_cov_41.098253_g12058_i0,TRAPPC12; trafficking protein particle complex subunit 12,,,,,
NODE_26099_length_1881_cov_29.608079_g12060_i0,GUX; xylan alpha-glucuronosyltransferase [EC:2.4.1.-],,,,,
NODE_26100_length_1881_cov_21.524017_g12061_i0,ispS; isoprene synthase [EC:4.2.3.27],Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,dimethylallyl-diphosphate diphosphate-lyase (isoprene-forming); Dimethylallyl diphosphate <=> Isoprene + Diphosphate,,,
NODE_26103_length_1881_cov_5.636463_g12063_i0,MLO; mlo protein,,,,,
