Transcript_ID,KO_IDs,Pathway_IDs,Module_IDs,Reaction_IDs
NODE_23197_length_2009_cov_215.307143_g5450_i3,ko:K12741,"ko03040,map03040",,
NODE_23202_length_2009_cov_70.769898_g10797_i0,ko:K00511,"ko00100,ko00909,ko01100,ko01110,ko01130,map00100,map00909,map01100,map01110,map01130",,R02874
NODE_23215_length_2008_cov_141.172537_g10802_i0,"ko:K15111,ko:K15113",,,
NODE_23218_length_2008_cov_81.273609_g8052_i2,ko:K14777,,,
NODE_23220_length_2008_cov_73.790199_g10803_i0,ko:K15283,,,
NODE_23223_length_2008_cov_64.914752_g10804_i0,ko:K20772,"ko00270,ko01100,ko01110,ko04016,map00270,map01100,map01110,map04016",M00368,R00179
NODE_23228_length_2008_cov_4.738132_g10806_i0,ko:K00430,"ko00940,ko01100,ko01110,map00940,map01100,map01110",,"R00602,R02596,R03919,R04007,R07443"
NODE_2322_length_4382_cov_201.165013_g772_i1,ko:K09338,,,
NODE_23232_length_2007_cov_146.014811_g7096_i2,ko:K00128,"ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130",M00135,"R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146"
NODE_23236_length_2007_cov_95.635853_g10808_i0,ko:K01867,"ko00970,map00970","M00359,M00360",R03664
NODE_23239_length_2007_cov_28.157303_g8996_i1,ko:K09419,,,
NODE_23240_length_2007_cov_13.616445_g10809_i0,ko:K18810,,M00692,
NODE_23243_length_2006_cov_265.959632_g9567_i1,ko:K01193,"ko00052,ko00500,ko01100,map00052,map00500,map01100",,"R00801,R00802,R02410,R03635,R03921,R06088"
NODE_23245_length_2006_cov_104.080225_g10811_i0,ko:K10712,"ko00430,ko01100,map00430,map01100",,R02467
NODE_23254_length_2006_cov_8.801226_g10815_i0,ko:K05909,,,
NODE_23259_length_2005_cov_332.562372_g7923_i3,ko:K12486,"ko04144,map04144",,
NODE_23262_length_2005_cov_114.683027_g10817_i0,ko:K09060,,,
NODE_23266_length_2005_cov_44.657975_g10818_i0,ko:K01051,"ko00040,ko01100,map00040,map01100",M00081,R02362
NODE_23267_length_2005_cov_28.039877_g10819_i0,ko:K08900,,,
NODE_23273_length_2004_cov_529.070588_g10825_i0,ko:K02358,,,
NODE_23276_length_2004_cov_249.640409_g10827_i0,ko:K10355,,,
NODE_23277_length_2004_cov_188.954987_g10828_i0,"ko:K21893,ko:K21894",,,
NODE_23282_length_2004_cov_122.777494_g10831_i0,ko:K01176,"ko00500,ko01100,ko04973,map00500,map01100,map04973",,"R02108,R02112,R11262"
NODE_23283_length_2004_cov_101.216368_g10832_i0,ko:K13496,"ko01110,map01110",,R08076
NODE_23291_length_2004_cov_23.611253_g10837_i0,ko:K08150,,,
NODE_23294_length_2004_cov_7.552430_g2588_i2,ko:K19613,"ko04014,map04014",,
NODE_23297_length_2003_cov_445.912999_g9761_i1,ko:K01904,"ko00130,ko00360,ko00940,ko01100,ko01110,map00130,map00360,map00940,map01100,map01110","M00039,M00137,M00350","R01616,R01943,R02194,R02221,R02255,R06583"
NODE_23299_length_2003_cov_352.060389_g6194_i2,ko:K07300,,,
NODE_23300_length_2003_cov_228.298874_g4267_i1,ko:K00972,"ko00520,ko01100,ko01130,map00520,map01100,map01130","M00361,M00362",R00416
NODE_23302_length_2003_cov_191.237462_g7692_i2,ko:K12613,"ko03018,map03018",M00395,R10815
NODE_23324_length_2002_cov_114.827445_g10844_i0,ko:K18932,,,
NODE_23328_length_2002_cov_47.199181_g10847_i0,ko:K20619,,,
NODE_23332_length_2002_cov_7.285202_g10850_i0,ko:K10357,,,
NODE_23336_length_2001_cov_2073.627561_g10852_i0,ko:K03671,"ko04621,ko05418,map04621,map05418",,
NODE_23341_length_2001_cov_244.677766_g10855_i0,ko:K15285,,,
NODE_23345_length_2001_cov_62.971311_g10856_i0,ko:K10260,"ko04120,map04120",M00387,
NODE_23346_length_2001_cov_57.476947_g6031_i2,ko:K04733,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_23360_length_2000_cov_18.309072_g10861_i0,ko:K17479,,,
NODE_23363_length_1999_cov_495.462564_g10132_i1,"ko:K03247,ko:K15744","ko00906,ko01100,ko01110,ko03013,ko05162,map00906,map01100,map01110,map03013,map05162",M00097,R09655
NODE_23368_length_1999_cov_209.372821_g10864_i0,ko:K07513,"ko00071,ko00280,ko00592,ko01040,ko01100,ko01110,ko01130,ko01212,ko03320,ko04146,map00071,map00280,map00592,map01040,map01100,map01110,map01130,map01212,map03320,map04146","M00087,M00113","R00927,R01177,R03778,R03858,R03991,R04546,R04742,R04747,R07891,R07895,R07899,R07937,R07953"
NODE_23370_length_1999_cov_167.793333_g10386_i1,ko:K06119,"ko00561,ko01100,map00561,map01100",,R06867
NODE_23374_length_1999_cov_101.560513_g1479_i3,ko:K06943,"ko03008,map03008",,
NODE_23381_length_1998_cov_170.208312_g10061_i1,ko:K16302,,,
NODE_23390_length_1998_cov_87.337096_g10872_i0,ko:K18666,,,
NODE_23393_length_1998_cov_61.461775_g10183_i1,ko:K00966,"ko00051,ko00520,ko01100,ko01110,map00051,map00520,map01100,map01110","M00114,M00361,M00362",R00885
NODE_23394_length_1998_cov_60.299128_g10874_i0,ko:K10767,,,
NODE_2339_length_4374_cov_18.598844_g1147_i0,ko:K16196,"ko04138,ko04140,ko04141,ko05160,ko05162,ko05164,ko05168,ko05169,map04138,map04140,map04141,map05160,map05162,map05164,map05168,map05169",,
NODE_23402_length_1998_cov_5.381734_g10878_i0,ko:K13457,"ko04626,map04626",,
NODE_23403_length_1998_cov_4.439200_g10879_i0,ko:K21776,"ko04218,map04218",,
NODE_23410_length_1997_cov_246.656057_g10884_i0,ko:K08237,,,
NODE_23412_length_1997_cov_212.488706_g6911_i1,ko:K08678,"ko00520,ko01100,map00520,map01100",M00361,R01384
NODE_23414_length_1997_cov_109.746407_g10886_i0,ko:K11982,,,
NODE_23422_length_1997_cov_31.896304_g10342_i1,ko:K03553,"ko03440,map03440",M00729,
NODE_23426_length_1996_cov_587.875706_g3447_i1,ko:K19043,,,
NODE_23427_length_1996_cov_553.430406_g6207_i1,"ko:K15198,ko:K15622","ko05202,map05202",,
NODE_23436_length_1996_cov_7.939908_g10893_i0,ko:K13459,"ko04626,map04626",,
NODE_23439_length_1996_cov_5.525424_g10896_i0,ko:K10589,"ko04120,map04120",,
NODE_2343_length_4373_cov_8.384598_g1149_i0,ko:K11000,,,
NODE_23440_length_1995_cov_604.753340_g10897_i0,ko:K02116,,,
NODE_2344_length_4372_cov_237.825584_g1095_i1,"ko:K05761,ko:K05768","ko04666,ko04810,ko05203,map04666,map04810,map05203",,
NODE_23453_length_1995_cov_66.326310_g6595_i1,"ko:K15502,ko:K15503",,,
NODE_23455_length_1995_cov_61.695272_g10905_i0,ko:K07198,"ko04068,ko04140,ko04150,ko04151,ko04152,ko04211,ko04213,ko04371,ko04530,ko04710,ko04714,ko04910,ko04920,ko04921,ko04922,ko04931,ko04932,ko05410,ko05418,map04068,map04140,map04150,map04151,map04152,map04211,map04213,map04371,map04530,map04710,map04714,map04910,map04920,map04921,map04922,map04931,map04932,map05410,map05418",,
NODE_23468_length_1994_cov_111.725450_g10912_i0,ko:K03103,"ko00010,ko00562,ko01100,map00010,map00562,map01100",,"R03434,R09532"
NODE_23483_length_1993_cov_1105.603909_g9933_i1,ko:K00487,"ko00130,ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,ko01220,map00130,map00360,map00940,map00941,map00945,map01100,map01110,map01220","M00039,M00137,M00350","R02253,R08815"
NODE_23488_length_1993_cov_156.705247_g7458_i2,ko:K09273,,,
NODE_23491_length_1993_cov_115.346708_g10920_i0,ko:K16675,"ko04391,map04391",,
NODE_23493_length_1993_cov_81.677469_g10921_i0,ko:K04733,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_23494_length_1993_cov_73.409979_g9613_i1,ko:K06927,,,R03613
NODE_23498_length_1993_cov_65.435185_g9755_i1,ko:K01409,,,R10648
NODE_23504_length_1993_cov_41.777778_g7962_i1,ko:K00102,"ko00620,map00620",,R00197
NODE_23519_length_1992_cov_121.374678_g10346_i1,ko:K01464,"ko00240,ko00410,ko00770,ko00983,ko01100,map00240,map00410,map00770,map00983,map01100",M00046,"R02269,R03055,R08227"
NODE_23520_length_1992_cov_105.105507_g2465_i4,ko:K03094,"ko04110,ko04111,ko04114,ko04120,ko04141,ko04310,ko04341,ko04350,ko04710,ko05168,ko05200,map04110,map04111,map04114,map04120,map04141,map04310,map04341,map04350,map04710,map05168,map05200","M00379,M00380,M00381,M00382,M00387,M00407,M00411",
NODE_23524_length_1992_cov_42.884200_g10934_i0,ko:K02178,"ko04110,ko04111,ko04113,ko04114,ko04914,map04110,map04111,map04113,map04114,map04914",,
NODE_23527_length_1992_cov_16.477097_g10936_i0,ko:K12373,"ko00511,ko00513,ko00520,ko00531,ko00603,ko00604,ko01100,ko04142,map00511,map00513,map00520,map00531,map00603,map00604,map01100,map04142",M00079,"R00022,R06004,R11316"
NODE_23529_length_1992_cov_7.847144_g10938_i0,ko:K16670,,,
NODE_23533_length_1991_cov_229.700824_g8536_i1,ko:K00627,"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200",M00307,"R00209,R02569"
NODE_23536_length_1991_cov_97.937693_g5668_i2,ko:K05909,,,
NODE_23537_length_1991_cov_86.495366_g10941_i0,ko:K11979,,,
NODE_23549_length_1991_cov_24.124099_g10947_i0,ko:K17279,,,
NODE_23553_length_1991_cov_21.565911_g10949_i0,ko:K04123,"ko00904,ko01100,ko01110,map00904,map01100,map01110",,"R06294,R06295,R06296,R06297,R10067"
NODE_23557_length_1990_cov_2273.249871_g8007_i9,ko:K08057,"ko04141,ko04145,ko04612,ko05142,ko05166,map04141,map04145,map04612,map05142,map05166",,
NODE_23561_length_1990_cov_611.513653_g1909_i1,ko:K16297,,,
NODE_23562_length_1990_cov_441.209686_g10952_i0,ko:K03246,"ko03013,map03013",,
NODE_23565_length_1990_cov_71.126739_g10955_i0,"ko:K00771,ko:K20891","ko00532,ko00534,ko01100,map00532,map00534,map01100",M00057,R05925
NODE_23570_length_1989_cov_1044.659278_g10957_i0,ko:K08679,"ko00520,ko01100,map00520,map01100",,R01385
NODE_23572_length_1989_cov_167.279381_g6114_i1,"ko:K14803,ko:K17499",,,
NODE_23579_length_1989_cov_40.359278_g8749_i1,ko:K20100,,,
NODE_23583_length_1988_cov_1026.981434_g10964_i0,ko:K02957,"ko03010,map03010",M00177,
NODE_23588_length_1988_cov_166.025271_g4306_i1,ko:K12486,"ko04144,map04144",,
NODE_2358_length_4369_cov_32.885185_g43_i6,ko:K05674,"ko02010,map02010",,
NODE_23590_length_1988_cov_129.739556_g10967_i0,ko:K00083,"ko00940,ko01100,ko01110,map00940,map01100,map01110",M00039,"R02593,R03918,R06570,R06571,R07437"
NODE_23591_length_1988_cov_118.565240_g9765_i1,ko:K13427,"ko00220,ko00330,ko01100,ko01110,ko01130,ko04626,map00220,map00330,map01100,map01110,map01130,map04626",,"R00111,R00557,R00558"
NODE_235_length_7311_cov_20.299367_g106_i0,ko:K19525,,,
NODE_23602_length_1988_cov_16.645178_g10971_i0,ko:K15102,,,
NODE_23604_length_1988_cov_9.199072_g10973_i0,"ko:K13423,ko:K13424","ko04016,ko04626,map04016,map04626",,
NODE_23605_length_1988_cov_7.919030_g10974_i0,ko:K15341,,,
NODE_23610_length_1987_cov_222.478844_g10975_i0,ko:K04564,"ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map04013,map04068,map04146,map04211,map04212,map04213,map05016",,
NODE_23613_length_1987_cov_128.311146_g10977_i0,ko:K16271,,,
NODE_23614_length_1987_cov_121.615583_g10978_i0,ko:K08900,,,
NODE_23619_length_1987_cov_83.957172_g5790_i1,ko:K00279,"ko00908,map00908",,R05708
NODE_2361_length_4368_cov_14.565177_g1159_i0,ko:K10706,,,
NODE_23621_length_1987_cov_79.380289_g8978_i1,ko:K00318,"ko00330,ko01100,ko01110,ko01130,map00330,map01100,map01110,map01130",,R10507
NODE_23624_length_1987_cov_42.207946_g10982_i0,ko:K05909,,,
NODE_23626_length_1987_cov_37.434469_g10984_i0,ko:K11968,,,
NODE_2363_length_4366_cov_25.877461_g1161_i0,"ko:K03654,ko:K10901","ko03018,ko03440,ko03460,map03018,map03440,map03460","M00295,M00414",
NODE_23641_length_1986_cov_170.362416_g10993_i0,ko:K13105,"ko05202,ko05211,map05202,map05211",,
NODE_23651_length_1986_cov_72.127001_g10999_i0,ko:K08237,,,
NODE_23657_length_1986_cov_46.516779_g11001_i0,ko:K15639,"ko00905,map00905",,"R09761,R09762"
NODE_2365_length_4364_cov_20.699421_g1163_i0,ko:K01931,,,
NODE_23664_length_1986_cov_5.369128_g6936_i1,ko:K13457,"ko04626,map04626",,
NODE_2366_length_4364_cov_5.140904_g1164_i0,ko:K10895,"ko03460,map03460",,
NODE_23676_length_1985_cov_70.594525_g11005_i0,ko:K01188,"ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110",,"R00026,R02558,R02887,R02985,R03527,R04949,R04998,R10035,R10039,R10040"
NODE_23679_length_1985_cov_66.731921_g11007_i0,ko:K01381,"ko04138,map04138",,
NODE_23680_length_1985_cov_56.085227_g9721_i1,ko:K14652,"ko00740,ko00790,ko01100,ko01110,map00740,map00790,map01100,map01110","M00125,M00840","R00425,R07281"
NODE_2369_length_4363_cov_20.079740_g1166_i0,ko:K04730,"ko04010,ko04064,ko04620,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05169,map04010,map04064,map04620,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05169",M00686,
NODE_23704_length_1984_cov_149.342119_g11014_i0,ko:K09874,,,
NODE_23709_length_1984_cov_88.220672_g11016_i0,ko:K04733,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_23711_length_1984_cov_81.941085_g11018_i0,ko:K12581,"ko03018,map03018",,
NODE_23714_length_1984_cov_50.062532_g10721_i1,ko:K01247,"ko03410,map03410",,
NODE_23737_length_1982_cov_369.078117_g9378_i1,ko:K04382,"ko03015,ko04013,ko04071,ko04111,ko04113,ko04114,ko04136,ko04138,ko04140,ko04151,ko04152,ko04261,ko04350,ko04390,ko04391,ko04530,ko04728,ko04730,ko05142,ko05160,ko05165,map03015,map04013,map04071,map04111,map04113,map04114,map04136,map04138,map04140,map04151,map04152,map04261,map04350,map04390,map04391,map04530,map04728,map04730,map05142,map05160,map05165",,
NODE_23738_length_1982_cov_347.389550_g11031_i0,"ko:K04730,ko:K04733","ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,ko05169,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164,map05169",M00686,
NODE_2373_length_4361_cov_325.362477_g1169_i0,ko:K03178,"ko04120,ko05012,map04120,map05012",,
NODE_23740_length_1982_cov_242.859286_g10051_i1,ko:K07513,"ko00071,ko00280,ko00592,ko01040,ko01100,ko01110,ko01130,ko01212,ko03320,ko04146,map00071,map00280,map00592,map01040,map01100,map01110,map01130,map01212,map03320,map04146","M00087,M00113","R00927,R01177,R03778,R03858,R03991,R04546,R04742,R04747,R07891,R07895,R07899,R07937,R07953"
NODE_23742_length_1982_cov_173.256079_g11033_i0,ko:K01593,"ko00350,ko00360,ko00380,ko00901,ko00950,ko00965,ko01100,ko01110,ko04726,ko04728,ko05030,ko05031,ko05034,map00350,map00360,map00380,map00901,map00950,map00965,map01100,map01110,map04726,map04728,map05030,map05031,map05034","M00037,M00042","R00685,R00699,R00736,R02080,R02701,R04909"
NODE_23743_length_1982_cov_167.436110_g8697_i5,ko:K17804,,,
NODE_23744_length_1982_cov_165.505949_g10307_i1,ko:K14841,,,
NODE_23745_length_1982_cov_124.169684_g5927_i3,ko:K09571,"ko04915,map04915",,
NODE_23746_length_1982_cov_98.334196_g7874_i1,ko:K12885,"ko03040,map03040",,
NODE_23747_length_1982_cov_96.010864_g11034_i0,ko:K09587,"ko00905,ko01100,ko01110,map00905,map01100,map01110",M00371,"R07430,R07445,R07452,R07453,R07454"
NODE_23752_length_1982_cov_66.680290_g11036_i0,ko:K11649,"ko04714,ko05225,map04714,map05225",,
NODE_23755_length_1982_cov_33.778583_g10478_i1,ko:K20642,,,
NODE_23756_length_1982_cov_26.035178_g11038_i0,ko:K15400,"ko00073,map00073",,R09106
NODE_23757_length_1982_cov_18.091050_g11039_i0,ko:K03327,,,
NODE_23758_length_1982_cov_12.941024_g11040_i0,ko:K00924,,,
NODE_23764_length_1981_cov_474.159420_g11044_i0,ko:K20667,,,
NODE_23765_length_1981_cov_404.767598_g6607_i2,ko:K00128,"ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130",M00135,"R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146"
NODE_2376_length_4357_cov_68.789461_g456_i2,"ko:K14400,ko:K14510","ko03015,ko04016,ko04075,map03015,map04016,map04075",,
NODE_23770_length_1981_cov_102.343685_g11046_i0,ko:K09590,"ko00905,ko01100,ko01110,map00905,map01100,map01110",M00371,"R07450,R07451,R07455,R07457,R07458,R10669"
NODE_2377_length_4356_cov_109.925470_g1170_i0,ko:K12830,"ko03040,map03040",M00352,
NODE_23783_length_1981_cov_5.736025_g11051_i0,ko:K20618,,,
NODE_23785_length_1981_cov_3.961180_g11053_i0,ko:K17964,,,
NODE_23786_length_1980_cov_411.148628_g8627_i1,ko:K12844,"ko03040,map03040",M00354,
NODE_23787_length_1980_cov_332.762817_g11054_i0,ko:K00559,"ko00100,ko01100,ko01110,ko01130,map00100,map01100,map01110,map01130",M00102,"R04427,R07481"
NODE_23788_length_1980_cov_324.151217_g11055_i0,ko:K01956,"ko00240,ko00250,ko01100,map00240,map00250,map01100",M00051,"R00256,R00575,R01395,R10948,R10949"
NODE_23789_length_1980_cov_321.209736_g7213_i1,ko:K21444,,,
NODE_23793_length_1980_cov_104.511134_g10298_i1,ko:K03537,"ko03008,ko03013,map03008,map03013",,
NODE_23795_length_1980_cov_90.874158_g11057_i0,ko:K20890,,,
NODE_23797_length_1980_cov_79.203004_g10508_i1,ko:K09422,,,
NODE_2379_length_4356_cov_31.116787_g899_i1,ko:K14405,"ko03015,map03015",,
NODE_237_length_7291_cov_9.897680_g107_i0,ko:K02349,,,
NODE_23811_length_1979_cov_642.566321_g9835_i1,ko:K01641,"ko00072,ko00280,ko00650,ko00900,ko01100,ko01110,ko01130,map00072,map00280,map00650,map00900,map01100,map01110,map01130","M00088,M00095",R01978
NODE_23813_length_1979_cov_457.298446_g11062_i0,ko:K07297,"ko04152,ko04211,ko04920,ko04932,map04152,map04211,map04920,map04932",,
NODE_23814_length_1979_cov_431.435233_g8878_i1,ko:K00387,"ko00920,ko01100,ko01120,map00920,map01100,map01120",,R00533
NODE_23815_length_1979_cov_378.569430_g11063_i0,ko:K00026,"ko00020,ko00270,ko00620,ko00630,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00270,map00620,map00630,map00710,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00012,M00168,M00171","R00342,R07136"
NODE_23821_length_1979_cov_90.993264_g4773_i4,ko:K13254,,,
NODE_23828_length_1979_cov_12.037824_g11069_i0,ko:K16280,,,
NODE_23833_length_1978_cov_135.783826_g5854_i1,ko:K22133,"ko00630,ko01100,map00630,map01100",,R01558
NODE_23837_length_1978_cov_36.784863_g11073_i0,ko:K13754,,,
NODE_23838_length_1978_cov_33.068429_g11074_i0,ko:K03686,,,
NODE_23842_length_1978_cov_21.478486_g11075_i0,ko:K05909,,,
NODE_23843_length_1978_cov_8.832556_g11076_i0,ko:K14638,,,
NODE_2384_length_4355_cov_17.281932_g1174_i0,ko:K01530,,,
NODE_23853_length_1977_cov_136.658714_g11080_i0,ko:K03177,,,
NODE_23854_length_1977_cov_124.053423_g11081_i0,ko:K00981,"ko00564,ko01100,ko01110,ko04070,map00564,map01100,map01110,map04070",M00093,R01799
NODE_23855_length_1977_cov_115.919606_g11082_i0,ko:K14775,,,
NODE_23871_length_1976_cov_1975.827711_g7274_i4,ko:K10257,,,
NODE_23874_length_1976_cov_729.627400_g2825_i1,ko:K01590,"ko00340,ko01100,ko01110,map00340,map01100,map01110",,R01167
NODE_23877_length_1976_cov_394.737416_g2653_i2,ko:K03038,"ko03050,ko05169,map03050,map05169",M00341,
NODE_23881_length_1976_cov_124.015049_g4728_i2,ko:K03842,"ko00510,ko00513,ko01100,map00510,map00513,map01100",M00055,R05972
NODE_23882_length_1976_cov_116.280747_g9658_i1,ko:K14411,"ko03015,map03015",,
NODE_23885_length_1976_cov_77.127141_g8401_i2,ko:K16275,,,
NODE_2388_length_4354_cov_11.635772_g1178_i0,ko:K03155,,,
NODE_23893_length_1976_cov_6.110016_g11099_i0,ko:K08237,,,
NODE_23894_length_1976_cov_4.918526_g11100_i0,ko:K15015,"ko04721,ko04723,ko04727,ko05032,ko05033,map04721,map04723,map04727,map05032,map05033",,
NODE_23899_length_1975_cov_390.727414_g10375_i2,ko:K01658,"ko00400,ko00405,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map01100,map01110,map01130,map01230,map02024,map02025",M00023,"R00985,R00986"
NODE_238_length_7282_cov_17.143232_g102_i1,ko:K02324,"ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko05166,map00230,map00240,map01100,map03030,map03410,map03420,map05166",M00263,"R00375,R00376,R00377,R00378"
NODE_23912_length_1975_cov_31.576843_g11108_i0,ko:K13424,"ko04016,ko04626,map04016,map04626",,
NODE_23918_length_1974_cov_628.873247_g7288_i1,ko:K19514,"ko04614,map04614",,
NODE_2391_length_4352_cov_45.580990_g1179_i0,ko:K11446,,,
NODE_23922_length_1974_cov_204.315325_g11110_i0,ko:K10293,,,
NODE_23926_length_1974_cov_155.811429_g2729_i2,ko:K15287,,,
NODE_23936_length_1974_cov_13.017143_g11115_i0,ko:K14638,,,
NODE_23938_length_1973_cov_540.610187_g9818_i1,ko:K07375,"ko04145,ko04540,ko05130,map04145,map04540,map05130",,
NODE_23953_length_1973_cov_26.185551_g11122_i0,ko:K07542,"ko00563,ko01100,map00563,map01100",M00065,R05921
NODE_23955_length_1972_cov_586.993240_g11124_i0,ko:K01904,"ko00130,ko00360,ko00940,ko01100,ko01110,map00130,map00360,map00940,map01100,map01110","M00039,M00137,M00350","R01616,R01943,R02194,R02221,R02255,R06583"
NODE_23956_length_1972_cov_539.396776_g11125_i0,ko:K03453,,,
NODE_23958_length_1972_cov_269.243890_g11126_i0,ko:K01904,"ko00130,ko00360,ko00940,ko01100,ko01110,map00130,map00360,map00940,map01100,map01110","M00039,M00137,M00350","R01616,R01943,R02194,R02221,R02255,R06583"
NODE_23960_length_1972_cov_242.674467_g8538_i2,ko:K00592,,,R05179
NODE_23961_length_1972_cov_178.407696_g11127_i0,ko:K10614,"ko04120,map04120",,
NODE_23962_length_1972_cov_131.179927_g10420_i1,ko:K22390,,,
NODE_23964_length_1972_cov_117.071243_g10575_i1,ko:K13065,"ko00940,ko00941,ko00945,ko01100,ko01110,map00940,map00941,map00945,map01100,map01110",M00039,"R01945,R02416,R07432,R07433"
NODE_23975_length_1972_cov_7.582943_g11131_i0,ko:K22390,,,
NODE_23978_length_1971_cov_133.405307_g7388_i1,ko:K03514,"ko03018,map03018",M00393,
NODE_2398_length_4350_cov_12.545920_g1183_i0,ko:K17604,,,
NODE_23992_length_1971_cov_7.324662_g11135_i0,ko:K04733,"ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164",M00686,
NODE_23994_length_1971_cov_3.543704_g11137_i0,"ko:K11642,ko:K11643","ko05165,ko05203,map05165,map05203",,
NODE_2399_length_4348_cov_32.151431_g1054_i1,ko:K08739,"ko03430,map03430",,
NODE_23_length_13537_cov_30.035958_g4_i0,ko:K19525,,,
NODE_24000_length_1970_cov_206.570016_g9121_i1,ko:K01580,"ko00250,ko00410,ko00430,ko00650,ko01100,ko01110,ko01120,ko02024,ko04727,ko04940,map00250,map00410,map00430,map00650,map01100,map01110,map01120,map02024,map04727,map04940",M00027,"R00261,R00489,R01682,R02466"
NODE_24002_length_1970_cov_168.845914_g11140_i0,ko:K21752,,,
NODE_24005_length_1970_cov_118.042166_g10085_i2,ko:K08342,"ko04136,ko04138,ko04140,map04136,map04138,map04140",,
NODE_24010_length_1970_cov_76.079646_g11142_i0,ko:K14649,"ko03022,map03022",,
NODE_24016_length_1970_cov_26.396148_g11144_i0,ko:K21374,,,
NODE_24021_length_1969_cov_4435.171354_g9213_i2,ko:K01669,,,
NODE_24023_length_1969_cov_569.357813_g6076_i3,ko:K03030,"ko03050,ko05169,map03050,map05169",M00341,
NODE_24028_length_1969_cov_205.447396_g11149_i0,ko:K21248,"ko04140,map04140",,
NODE_24038_length_1969_cov_45.438021_g9809_i1,ko:K15446,,,
NODE_2403_length_4347_cov_8.731503_g1187_i0,ko:K17710,,,
NODE_24041_length_1969_cov_12.454167_g11154_i0,ko:K02213,"ko04110,ko04111,ko04113,map04110,map04111,map04113",,
NODE_24044_length_1969_cov_3.551042_g11156_i0,ko:K06670,"ko04110,ko04111,map04110,map04111",,
NODE_24045_length_1968_cov_1988.956227_g9269_i1,ko:K07374,"ko04145,ko04210,ko04530,ko04540,ko05130,map04145,map04210,map04530,map04540,map05130",,
NODE_24067_length_1967_cov_216.280501_g11166_i0,ko:K11275,,,
NODE_24069_length_1967_cov_135.639208_g5660_i2,"ko:K06170,ko:K15356","ko04330,ko05010,map04330,map05010",M00682,
NODE_24075_length_1967_cov_17.252346_g9956_i1,ko:K06620,"ko01522,ko04110,ko04218,ko04934,ko05161,ko05166,ko05167,ko05200,ko05206,ko05212,ko05214,ko05215,ko05218,ko05219,ko05220,ko05222,ko05223,ko05224,ko05225,ko05226,map01522,map04110,map04218,map04934,map05161,map05166,map05167,map05200,map05206,map05212,map05214,map05215,map05218,map05219,map05220,map05222,map05223,map05224,map05225,map05226",M00692,
NODE_24077_length_1967_cov_5.066215_g11168_i0,ko:K08176,,,
